clean_symbol,token,name
BAJAJHFL,25270,BAJAJHFL
ARKADE,25398,ARKADE
MOMENTUM50,25606,MOMENTUM50
JISLDVREQS,25684,JISLDVREQS
POLYMED,25718,POLYMED
APLAPOLLO,25780,APLAPOLLO
3PLAND,2595,3PLAND
PIDILITIND,2664,PIDILITIND
VSSL,27067,VSSL
RATEGAIN,7177,RATEGAIN
SBIETFPB,722,SBIETFPB
METROBRAND,7242,METROBRAND
GLENMARK,7406,GLENMARK
NIFTYADD,7451,NIFTYADD
MOINFRA,757031,MOINFRA
ARIS,757614,ARIS
HDBFS,757772,HDBFS
RMDRIP,757834,RMDRIP
SHANTIGOLD,758002,SHANTIGOLD
AHCL,758968,AHCL
ATLANTAELE,759007,ATLANTAELE
IVALUE,759041,IVALUE
DEVX,759079,DEVX
MWL,759169,MWL
TATACAP,759265,TATACAP
BLUESTONE,759291,BLUESTONE
SOLEX,759397,SOLEX
MONEYBOXX,759381,MONEYBOXX
DIAMONDYD,21840,DIAMONDYD
DHUNINV,22233,DHUNINV
MODIRUBBER,2229,MODIRUBBER
HDFCNIFBAN,22433,HDFCNIFBAN
EPACK,22463,EPACK
SIGNPOST,22656,SIGNPOST
JSFB,22663,JSFB
MUNJALSHOW,2307,MUNJALSHOW
HEIDELBERG,2316,HEIDELBERG
BHARTIHEXA,23489,BHARTIHEXA
FILATFASH,23647,FILATFASH
AADHARHFC,23729,AADHARHFC
MIDSMALL,23855,MIDSMALL
AWFIS,23864,AWFIS
NEULANDLAB,2406,NEULANDLAB
KRONOX,24025,KRONOX
VSTTILLERS,24292,VSTTILLERS
ABDL,24308,ABDL
VRAJ,24321,VRAJ
NOCIL,2442,NOCIL
AGIIL,24445,AGIIL
ONGC,2475,ONGC
PREMIERENE,25049,PREMIERENE
STYLEBAAZA,25114,STYLEBAAZA
EUREKAFORB,25162,EUREKAFORB
EBANKNIFTY,25258,EBANKNIFTY
WCIL,25403,WCIL
NIRAJ,255,NIRAJ
ESSARSHPNG,25634,ESSARSHPNG
DBEIL,25892,DBEIL
ABINFRA,27020,ABINFRA
MOBIKWIK,28046,MOBIKWIK
HITECH,2868,HITECH
DUCON,28952,DUCON
UNIMECH,28960,UNIMECH
RICOAUTO,2909,RICOAUTO
NIFTYIETF,29553,NIFTYIETF
NATCAPSUQ,29583,NATCAPSUQ
UNIONGOLD,29687,UNIONGOLD
AONETOTAL,29975,AONETOTAL
BSE500IETF,3001,BSE500IETF
ATULAUTO,30023,ATULAUTO
SAURASHCEM,3018,SAURASHCEM
SNXT30INAV,30519,SNXT30INAV
MOY100INAV,30549,MOY100INAV
MOME30INAV,30552,MOME30INAV
BAJAJHIND,308,BAJAJHIND
TOP20INAV,30590,TOP20INAV
PILITA,30835,PILITA
HONDAPOWER,3138,HONDAPOWER
JPOLYINVST,31507,JPOLYINVST
MODISONLTD,3316,MODISONLTD
SUBROS,3324,SUBROS
HONAUT,3417,HONAUT
TATACONSUM,3432,TATACONSUM
AXISBPSETF,3530,AXISBPSETF
ADANIGREEN,3563,ADANIGREEN
UCAL,3570,UCAL
JUBLPHARMA,3637,JUBLPHARMA
VLSFINANCE,3715,VLSFINANCE
VOLTAS,3718,VOLTAS
BBTC,380,BBTC
ZEEL,3812,ZEEL
BHARATRAS,3834,BHARATRAS
HATSUN,3892,HATSUN
NATCOPHARM,3918,NATCOPHARM
ZENITHEXPO,4176,ZENITHEXPO
SANGAMIND,4184,SANGAMIND
SENSEXIETF,4378,SENSEXIETF
CREDITACC,4421,CREDITACC
BOSCH-HCIL,4491,BOSCH-HCIL
SAREGAMA,4892,SAREGAMA
MADRASFERT,4911,MADRASFERT
SVPGLOB,5020,SVPGLOB
SBIETFCON,5168,SBIETFCON
KRSNAA,5359,KRSNAA
GRSE,5475,GRSE
GANESHBE,5614,GANESHBE
GRAPHITE,592,GRAPHITE
BANKNIFTY1,5851,BANKNIFTY1
COASTCORP,6006,COASTCORP
ARTNIRMAN,6156,ARTNIRMAN
DTIL,6227,DTIL
KRITI,6417,KRITI
TARSONS,6943,TARSONS
DICIND,703,DICIND
GANECOS,6944,GANECOS
GOCOLORS,6964,GOCOLORS
ASIANENE,7030,ASIANENE
HESTERBIO,7048,HESTERBIO
ZODIAC,7129,ZODIAC
MICEL,7169,MICEL
BBETF0432,7196,BBETF0432
DCMSRIND,7325,DCMSRIND
ABSLNN50ET,7339,ABSLNN50ET
SBIETFIT,740,SBIETFIT
STAR,7374,STAR
MIDQ50ADD,7456,MIDQ50ADD
HAVISHA,7457,HAVISHA
